tensor_id,tensor_name,tensor_type,size_KB,module_path,event_type,t_start_us,t_end_us,src_name,dest_name
1549,param_4540_4541,WEIGHT,4.000,model.layers.15.input_layernorm,TRANSFER,595975.700,595976.020,ram,vram0
1549,param_4540_4541,WEIGHT,4.000,model.layers.15.input_layernorm,TRANSFER,595975.700,595976.020,ram,vram0
1554,param_4553_4554,WEIGHT,8.000,model.layers.15.input_layernorm,TRANSFER,595997.341,595997.981,ram,vram0
1554,param_4553_4554,WEIGHT,8.000,model.layers.15.input_layernorm,TRANSFER,595997.341,595997.981,ram,vram0
1556,param_4557_4558,WEIGHT,32768.000,model.layers.15.self_attn.q_proj,TRANSFER,595997.341,597308.381,ram,vram0
1556,param_4557_4558,WEIGHT,32768.000,model.layers.15.self_attn.q_proj,TRANSFER,595997.341,597308.381,ram,vram0
1563,param_4577_4578,WEIGHT,8192.000,model.layers.15.self_attn.k_proj,TRANSFER,597371.428,597699.108,ram,vram0
1563,param_4577_4578,WEIGHT,8192.000,model.layers.15.self_attn.k_proj,TRANSFER,597371.428,597699.108,ram,vram0
1570,param_4597_4598,WEIGHT,8192.000,model.layers.15.self_attn.v_proj,TRANSFER,597726.038,598053.718,ram,vram0
1570,param_4597_4598,WEIGHT,8192.000,model.layers.15.self_attn.v_proj,TRANSFER,597726.038,598053.718,ram,vram0
1614,param_4724_4725,WEIGHT,32768.000,model.layers.15.self_attn.o_proj,TRANSFER,598355.590,599666.310,ram,vram0
1614,param_4724_4725,WEIGHT,32768.000,model.layers.15.self_attn.o_proj,TRANSFER,598355.590,599666.310,ram,vram0
1622,param_4751_4752,WEIGHT,4.000,model.layers.15.post_attention_layernorm,TRANSFER,599751.624,599751.944,ram,vram0
1622,param_4751_4752,WEIGHT,4.000,model.layers.15.post_attention_layernorm,TRANSFER,599751.624,599751.944,ram,vram0
1622,param_4751_4752,WEIGHT,4.000,model.layers.15.post_attention_layernorm,TRANSFER,599751.624,599751.944,ram,vram0
1622,param_4751_4752,WEIGHT,4.000,model.layers.15.post_attention_layernorm,TRANSFER,599751.624,599751.944,ram,vram0
1627,param_4764_4765,WEIGHT,8.000,model.layers.15.post_attention_layernorm,TRANSFER,599774.719,599775.359,ram,vram0
1627,param_4764_4765,WEIGHT,8.000,model.layers.15.post_attention_layernorm,TRANSFER,599774.719,599775.359,ram,vram0
1629,param_4768_4769,WEIGHT,114688.000,model.layers.15.mlp.gate_proj,TRANSFER,599774.719,604362.559,ram,vram0
1629,param_4768_4769,WEIGHT,114688.000,model.layers.15.mlp.gate_proj,TRANSFER,599774.719,604362.559,ram,vram0
1635,param_4785_4786,WEIGHT,114688.000,model.layers.15.mlp.up_proj,TRANSFER,604498.684,609086.204,ram,vram0
1635,param_4785_4786,WEIGHT,114688.000,model.layers.15.mlp.up_proj,TRANSFER,604498.684,609086.204,ram,vram0
1641,param_4802_4803,WEIGHT,114688.000,model.layers.15.mlp.down_proj,TRANSFER,609223.138,613810.658,ram,vram0
1641,param_4802_4803,WEIGHT,114688.000,model.layers.15.mlp.down_proj,TRANSFER,609223.138,613810.658,ram,vram0
1650,param_4830_4831,WEIGHT,4.000,model.layers.16.input_layernorm,TRANSFER,613986.025,613986.185,ram,vram0
1650,param_4830_4831,WEIGHT,4.000,model.layers.16.input_layernorm,TRANSFER,613986.025,613986.185,ram,vram0
1655,param_4843_4844,WEIGHT,8.000,model.layers.16.input_layernorm,TRANSFER,614009.038,614009.678,ram,vram0
1655,param_4843_4844,WEIGHT,8.000,model.layers.16.input_layernorm,TRANSFER,614009.038,614009.678,ram,vram0
1657,param_4847_4848,WEIGHT,32768.000,model.layers.16.self_attn.q_proj,TRANSFER,614009.038,615320.078,ram,vram0
1657,param_4847_4848,WEIGHT,32768.000,model.layers.16.self_attn.q_proj,TRANSFER,614009.038,615320.078,ram,vram0
1664,param_4867_4868,WEIGHT,8192.000,model.layers.16.self_attn.k_proj,TRANSFER,615385.994,615713.674,ram,vram0
1664,param_4867_4868,WEIGHT,8192.000,model.layers.16.self_attn.k_proj,TRANSFER,615385.994,615713.674,ram,vram0
1671,param_4887_4888,WEIGHT,8192.000,model.layers.16.self_attn.v_proj,TRANSFER,615741.086,616068.766,ram,vram0
1671,param_4887_4888,WEIGHT,8192.000,model.layers.16.self_attn.v_proj,TRANSFER,615741.086,616068.766,ram,vram0
1715,param_5015_5016,WEIGHT,32768.000,model.layers.16.self_attn.o_proj,TRANSFER,616394.294,617705.014,ram,vram0
1715,param_5015_5016,WEIGHT,32768.000,model.layers.16.self_attn.o_proj,TRANSFER,616394.294,617705.014,ram,vram0
1730,param_5059_5060,WEIGHT,114688.000,model.layers.16.mlp.gate_proj,TRANSFER,617781.568,622369.568,ram,vram0
1730,param_5059_5060,WEIGHT,114688.000,model.layers.16.mlp.gate_proj,TRANSFER,617781.568,622369.568,ram,vram0
1723,param_5042_5043,WEIGHT,4.000,model.layers.16.post_attention_layernorm,TRANSFER,617809.799,617810.119,ram,vram0
1723,param_5042_5043,WEIGHT,4.000,model.layers.16.post_attention_layernorm,TRANSFER,617809.799,617810.119,ram,vram0
1728,param_5055_5056,WEIGHT,8.000,model.layers.16.post_attention_layernorm,TRANSFER,617814.823,617815.463,ram,vram0
1728,param_5055_5056,WEIGHT,8.000,model.layers.16.post_attention_layernorm,TRANSFER,617814.823,617815.463,ram,vram0
1736,param_5076_5077,WEIGHT,114688.000,model.layers.16.mlp.up_proj,TRANSFER,622369.568,626957.088,ram,vram0
1736,param_5076_5077,WEIGHT,114688.000,model.layers.16.mlp.up_proj,TRANSFER,622369.568,626957.088,ram,vram0
1742,param_5094_5095,WEIGHT,114688.000,model.layers.16.mlp.down_proj,TRANSFER,626957.088,631550.208,ram,vram0
1742,param_5094_5095,WEIGHT,114688.000,model.layers.16.mlp.down_proj,TRANSFER,626957.088,631550.208,ram,vram0
1758,param_5139_5140,WEIGHT,32768.000,model.layers.17.self_attn.q_proj,TRANSFER,631601.863,632913.063,ram,vram0
1758,param_5139_5140,WEIGHT,32768.000,model.layers.17.self_attn.q_proj,TRANSFER,631601.863,632913.063,ram,vram0
