step,src_node_id,dst_node_id,edge_kind,submit_exact,wait_kind,wait_exact,wait_source,wait_source_launch_ids,wait_source_correlation_ids
0,k647,k648,thread_order,,,,,,
0,k648,k649,thread_order,,,,,,
0,k649,k651,thread_order,,,,,,
0,k651,k652,thread_order,,,,,,
0,k652,k653,thread_order,,,,,,
0,k653,k654,thread_order,,,,,,
0,k654,k656,thread_order,,,,,,
0,k656,k658,thread_order,,,,,,
0,k658,k659,thread_order,,,,,,
0,k659,k660,thread_order,,,,,,
0,k660,k662,thread_order,,,,,,
0,k662,k664,thread_order,,,,,,
0,k664,k665,thread_order,,,,,,
0,k665,k668,thread_order,,,,,,
0,k668,k670,thread_order,,,,,,
0,k670,k671,thread_order,,,,,,
0,k671,k672,thread_order,,,,,,
0,k672,k674,thread_order,,,,,,
0,k674,k675,thread_order,,,,,,
0,k675,k676,thread_order,,,,,,
0,k676,k678,thread_order,,,,,,
0,k678,k679,thread_order,,,,,,
0,k679,k680,thread_order,,,,,,
0,k680,k682,thread_order,,,,,,
0,k682,k684,thread_order,,,,,,
0,k684,k685,thread_order,,,,,,
0,k685,k686,thread_order,,,,,,
0,k686,k687,thread_order,,,,,,
0,k687,k688,thread_order,,,,,,
0,k688,k689,thread_order,,,,,,
0,k689,k690,thread_order,,,,,,
0,k690,k691,thread_order,,,,,,
0,k691,k692,thread_order,,,,,,
0,k692,k694,thread_order,,,,,,
0,k694,k695,thread_order,,,,,,
0,k695,k696,thread_order,,,,,,
0,k696,k697,thread_order,,,,,,
0,k697,k699,thread_order,,,,,,
0,k699,k701,thread_order,,,,,,
0,k701,k702,thread_order,,,,,,
0,k702,k703,thread_order,,,,,,
0,k703,k705,thread_order,,,,,,
0,k705,k707,thread_order,,,,,,
0,k707,k708,thread_order,,,,,,
0,k708,k711,thread_order,,,,,,
0,k711,k713,thread_order,,,,,,
0,k713,k714,thread_order,,,,,,
0,k714,k715,thread_order,,,,,,
0,k715,k717,thread_order,,,,,,
0,k717,k718,thread_order,,,,,,
0,k718,k719,thread_order,,,,,,
0,k719,k721,thread_order,,,,,,
0,k721,k722,thread_order,,,,,,
0,k722,k723,thread_order,,,,,,
0,k723,k725,thread_order,,,,,,
0,k725,k727,thread_order,,,,,,
0,k727,k728,thread_order,,,,,,
0,k728,k729,thread_order,,,,,,
0,k729,k730,thread_order,,,,,,
0,k730,k731,thread_order,,,,,,
0,k731,k732,thread_order,,,,,,
0,k732,k733,thread_order,,,,,,
0,k733,k734,thread_order,,,,,,
0,k734,k735,thread_order,,,,,,
0,k735,k737,thread_order,,,,,,
0,k737,k738,thread_order,,,,,,
0,k738,k739,thread_order,,,,,,
0,k739,k740,thread_order,,,,,,
0,k740,k742,thread_order,,,,,,
0,k742,k744,thread_order,,,,,,
0,k744,k745,thread_order,,,,,,
0,k745,k746,thread_order,,,,,,
0,k746,k748,thread_order,,,,,,
0,k748,k750,thread_order,,,,,,
0,k750,k751,thread_order,,,,,,
0,k751,k754,thread_order,,,,,,
0,k754,k756,thread_order,,,,,,
0,k756,k757,thread_order,,,,,,
0,k757,k758,thread_order,,,,,,
0,k758,k760,thread_order,,,,,,
0,k760,k761,thread_order,,,,,,
0,k761,k762,thread_order,,,,,,
0,k762,k764,thread_order,,,,,,
0,k764,k765,thread_order,,,,,,
0,k765,k766,thread_order,,,,,,
0,k766,k768,thread_order,,,,,,
0,k768,k770,thread_order,,,,,,
0,k770,k771,thread_order,,,,,,
0,k771,k772,thread_order,,,,,,
0,k772,k773,thread_order,,,,,,
0,k773,k774,thread_order,,,,,,
0,k774,k775,thread_order,,,,,,
0,k775,k776,thread_order,,,,,,
0,k776,k777,thread_order,,,,,,
0,k777,k778,thread_order,,,,,,
0,k778,k780,thread_order,,,,,,
0,k780,k781,thread_order,,,,,,
0,k781,k782,thread_order,,,,,,
0,k782,k783,thread_order,,,,,,
0,k783,k785,thread_order,,,,,,
0,k785,k787,thread_order,,,,,,
0,k787,k788,thread_order,,,,,,
0,k788,k789,thread_order,,,,,,
0,k789,k791,thread_order,,,,,,
0,k791,k793,thread_order,,,,,,
0,k793,k794,thread_order,,,,,,
0,k794,k797,thread_order,,,,,,
0,k797,k799,thread_order,,,,,,
0,k799,k800,thread_order,,,,,,
0,k800,k801,thread_order,,,,,,
0,k801,k803,thread_order,,,,,,
0,k803,k804,thread_order,,,,,,
0,k804,k805,thread_order,,,,,,
0,k805,k807,thread_order,,,,,,
0,k807,k808,thread_order,,,,,,
0,k808,k809,thread_order,,,,,,
0,k809,k811,thread_order,,,,,,
0,k811,k813,thread_order,,,,,,
0,k813,k814,thread_order,,,,,,
0,k814,k815,thread_order,,,,,,
0,k815,k816,thread_order,,,,,,
0,k816,k817,thread_order,,,,,,
0,k817,k818,thread_order,,,,,,
0,k818,k819,thread_order,,,,,,
0,k819,k820,thread_order,,,,,,
0,k820,k821,thread_order,,,,,,
0,k821,k823,thread_order,,,,,,
0,k823,k824,thread_order,,,,,,
0,k824,k825,thread_order,,,,,,
0,k825,k826,thread_order,,,,,,
0,k826,k828,thread_order,,,,,,
0,k828,k830,thread_order,,,,,,
0,k830,k831,thread_order,,,,,,
0,k831,k832,thread_order,,,,,,
