event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
12910,43312,cuLaunchKernel,,cuLaunchKernel,1938845.643,1938858.892,13.249000000068918,13.249000000068918,13.249000000068918,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6148,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12911,6147,ws_launch:3:1057,,ws_launch:3:1057,1938858.872,1938932.888,74.01600000006147,0,0,74.01600000006147,74.01600000006147,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12912,43312,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params),,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8::Params),1938858.872,1938924.472,65.60000000009313,0,0,65.60000000009313,65.60000000009313,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12913,43313,cudaLaunchKernel,,cudaLaunchKernel,1938860.432,1938868.722,8.290000000037253,8.290000000037253,8.290000000037253,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6148,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12914,43313,"void cublasLt::splitKreduce_kernel<32, 16, int, __half, __half, float, __half, true, true, false>(cublasLt::cublasSplitKParams<float>, __half const*, __half const*, __half*, float const*, float const*, __half const*, __half const*, __half*, void*, long, float*, int*)",,"void cublasLt::splitKreduce_kernel<32, 16, int, __half, __half, float, __half, true, true, false>(cublasLt::cublasSplitKParams<float>, __half const*, __half const*, __half*, float const*, float const*, __half const*, __half const*, __half*, void*, long, float*, int*)",1938925.24,1938932.888,7.6480000000447035,0,0,7.6480000000447035,7.6480000000447035,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12915,6149,ws_launch:3:1058,,ws_launch:3:1058,1940331.521,1941541.909,1210.3880000000354,1146.158000000054,1210.3880000000354,0.0,6.559999999823049,1,0,CPU,4140351,4140351,-1,-1,7,3,1818,1,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12916,6150,triton_red_fused_add_div_native_layer_norm_view_72,,triton_red_fused_add_div_native_layer_norm_view_72,1941107.45,1941171.68,64.22999999998137,50.299999999813735,64.22999999998137,6.559999999823049,6.559999999823049,1,0,CPU,4140351,4140351,-1,-1,0,4,6149,1,1,"[""triton_red_fused_add_div_native_layer_norm_view_72""]",[6.559999999823049],False,False,False,False,0,0,0,0,0,"[[1,256,1280],[256,1280],[256,1280],[256,1280],[1,256,1280],[1280],[1280],[1,256,1280],[],[]]","[null,null,null,null,null,null,null,null,256,1280]","{""kernel_backend"":""triton"",""kernel_file"":""/tmp/torchinductor_kwpark/e5/ce5x7xzkzp5vx4zsc2j4whulczzy73gmalt5omuxti44t7iscqsp.py"",""kernel_hash"":""ce5x7xzkzp5vx4zsc2j4whulczzy73gmalt5omuxti44t7iscqsp"",""kernel_kwargs"":""XBLOCK=2,R0_BLOCK=2048"",""kernel_name"":""triton_red_fused_add_div_native_layer_norm_view_72"",""num_stages"":1,""num_warps"":16,""stream"":0}",[],
12917,43326,cuLaunchKernel,,cuLaunchKernel,1941142.88,1941156.81,13.930000000167638,13.930000000167638,13.930000000167638,0,0,1,0,CPU,4140351,4140351,-1,-1,0,5,6150,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12918,43326,triton_red_fused_add_div_native_layer_norm_view_72,,triton_red_fused_add_div_native_layer_norm_view_72,1941156.806,1941163.366,6.559999999823049,0,0,6.559999999823049,6.559999999823049,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,False,0,0,0,0,0,[],[],{},[],
12919,6149,ws_launch:3:1058,,ws_launch:3:1058,1941156.806,1941163.366,6.559999999823049,0,0,6.559999999823049,6.559999999823049,1,0,CUDA,0,7,-1,-1,0,0,,0,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12920,6151,ws_launch:3:1059,,ws_launch:3:1059,1942255.219,1943782.087,1526.8680000000168,1444.3489999999292,1526.8680000000168,0.0,18.17599999997765,1,0,CPU,4140351,4140351,-1,-1,7,3,1818,1,0,[],[],False,False,False,True,0,0,0,0,0,[],[],{},[],
12921,6152,aten::mm,,aten::mm,1943310.508,1943393.027,82.51900000008754,66.69900000002235,82.51900000008754,18.17599999997765,18.17599999997765,1,0,CPU,4140351,4140351,-1,-1,0,4,6151,2,1,"[""ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn""]",[18.17599999997765],False,False,False,False,0,0,0,0,0,"[[256,1280],[1280,1280],[256,1280]]","[null,null,null]",{},[],
